Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2007,TRUE,Not internation student,AHANA,Christian Reformed,First-year,Female,2,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,First-year,Male,7,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Junior,Female,5,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Junior,Male,5,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Senior,Female,8,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Senior,Male,2,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Sophomore,Female,5,yes
2007,TRUE,Not internation student,AHANA,Christian Reformed,Sophomore,Male,2,yes
2007,TRUE,Not internation student,AHANA,Other,First-year,Female,12,yes
2007,TRUE,Not internation student,AHANA,Other,First-year,Male,6,yes
2007,TRUE,Not internation student,AHANA,Other,Junior,Female,18,yes
2007,TRUE,Not internation student,AHANA,Other,Junior,Male,2,yes
2007,TRUE,Not internation student,AHANA,Other,Senior,Female,7,yes
2007,TRUE,Not internation student,AHANA,Other,Senior,Male,4,yes
2007,TRUE,Not internation student,AHANA,Other,Sophomore,Female,7,yes
2007,TRUE,Not internation student,AHANA,Other,Sophomore,Male,6,yes
2008,FALSE,Not internation student,AHANA,Christian Reformed,First-year,Female,7,yes
2008,FALSE,Not internation student,AHANA,Christian Reformed,First-year,Male,5,yes
2008,FALSE,Not internation student,AHANA,Christian Reformed,Junior,Female,6,yes
2008,FALSE,Not internation student,AHANA,Christian Reformed,Junior,Male,3,yes
2008,FALSE,Not internation student,AHANA,Christian Reformed,Senior,Female,10,yes
